model,train score,test score,average fit time,best params,Test Notes,
DummyClassifier,0.887239,0.887594,,,DummyClassifier baseline,
,,,,,,
logisticregression,0.901838,0.904531,1.371007,{'logisticregression__C': 0.1},10% dataset with parms,
,,,,,,
knn,0.903920,0.894013,0.260901,{'knn__n_neighbors': 7},,
logisticregression,0.901838,0.904531,0.234526,{'logisticregression__C': 0.1},,
svc,0.899410,0.903722,1.437658,"{'svc__C': 1, 'svc__coef0': 1, 'svc__degree': 8, 'svc__kernel': 'linear'}",,7.323481468
decisiontreeclassifier,0.914325,0.894822,0.196308,{'decisiontreeclassifier__max_depth': 5},,
,,,,,,
logisticregression,0.900489,0.901109,3.274492,{'logisticregression__C': 0.1},100% dataset with limited parms #1,
,,,,,,
knn,0.909889,0.89245,6.791313,{'knn__n_neighbors': 7},,
logisticregression,0.900489,0.901109,2.259929,{'logisticregression__C': 0.1},,
svc,0.904825,0.900704,443.059169,"{'svc__C': 1, 'svc__kernel': 'rbf'}",,377.9787823
decisiontreeclassifier,0.904131,0.900218,1.17218,{'decisiontreeclassifier__max_depth': 5},,
,,,,,,
logisticregression,0.900489,0.901109,3.547391,{'logisticregression__C': 0.1},100% dataset with limited parms #2,
,,,,,,
knn,0.913080,0.889698,6.444012,{'knn__n_neighbors': 5},,
logisticregression,0.900489,0.901109,2.590594,{'logisticregression__C': 0.1},,
svc,0.899587,0.899247,197.577762,"{'svc__C': 0.1, 'svc__kernel': 'rbf'}",,150.3724054
decisiontreeclassifier,0.904131,0.900299,1.313923,{'decisiontreeclassifier__max_depth': 5},,
,,,,,,
logisticregression,0.900489,0.901109,3.547391,{'logisticregression__C': 0.1},100% dataset with additional parms,
,,,,,,
knn,0.909889,0.892450,6.698934,{'knn__n_neighbors': 7},,
logisticregression,0.900489,0.901109,2.539135,{'logisticregression__C': 0.1},,
svc,0.904825,0.900704,459.011338,"{'svc__C': 1, 'svc__kernel': 'rbf'}",,384.2652202
decisiontreeclassifier,0.904131,0.900299,1.194517,{'decisiontreeclassifier__max_depth': 5},,
